time,distance,health,x,y,z,holdout,holdout_time,police,camera_position_error,camera_angle_error,drift
0.1000004,0.7799997,100000,-420,0.12,-739.22,False,0,0,0,0,0
0.5084867,3.899998,100000,-423.2,0.12,-736.1,False,0,0,0,0,0
1.006233,7.800001,100000,-423.2,0.12,-732.2,False,0,0,0,0,0
1.506571,11.7,100000,-423.2,0.12,-728.3,False,0,0,0,0,0
2.006806,15.60001,100000,-423.2,0.12,-724.4,False,0,0,0,0,0
2.503156,19.50001,100000,-423.2,0.12,-720.5,False,0,0,0,0,0
3.016216,23.55602,100000,-423.2,0.12,-716.444,False,0,0,0,0,0
3.509894,27.30002,100000,-423.2,0.12,-712.7,False,0,0,0,0,0
4.009483,31.20002,100000,-423.2,0.12,-708.8,False,0,0,0,0,0
4.510088,35.09999,100000,-423.2,0.12,-704.9,False,0,0,0,0,0
5.011105,38.99994,100000,-423.2,0.12,-701.0001,False,0,0,0,0,0
5.511986,42.8999,100000,-423.2,0.12,-697.1001,False,0,0,0,0,0
6.006164,46.79985,100000,-423.2,0.12,-693.2001,False,0,0,0,0,0
6.512821,50.69981,100000,-423.2,0.12,-689.3002,False,0,0,0,0,0
7.005429,54.59977,100000,-423.2,0.12,-685.4002,False,0,0,0,0,0
7.512743,58.49972,100000,-423.2,0.12,-681.5003,False,0,0,0,0,0
8.014473,62.55568,100000,-423.2,0.12,-677.4443,False,0,0,0,0,0
8.50668,66.29964,100000,-423.2,0.12,-673.7004,False,0,0,0,0,0
9.008551,70.19959,100000,-423.2,0.12,-669.8004,False,0,0,0,0,0
9.509478,74.09955,100000,-423.2,0.12,-665.9005,False,0,0,0,0,0
10.00817,77.9995,100000,-423.2,0.12,-662.0005,False,0,0,0,0,0
10.51264,81.89946,100000,-423.2195,0.128,-658.1686,False,0,0,0,0,0
11.01387,85.95541,100000,-423.3911,0.128,-654.2565,False,0,0,0,0,0
11.5085,89.69937,100000,-423.7053,0.128,-650.642,False,0,0,0,0,0
12.01081,93.59933,100000,-424.1885,0.128,-646.8715,False,0,0,0,0,0
12.50246,97.49928,100000,-424.8288,0.128,-643.0984,False,0,0,0,0,0
13.01211,101.3992,100000,-425.6095,0.128,-639.2679,False,0,0,0,0,0
13.5113,105.2992,100000,-426.4996,0.128,-635.3573,False,0,0,0,0,0
14.01164,109.1992,100000,-427.4552,0.128,-631.4046,False,0,0,0,0,0
14.51336,113.2551,100000,-428.5114,0.128,-627.2422,False,0,0,0,0,0
15.00535,116.9991,100000,-429.5313,0.128,-623.3528,False,0,0,0,0,0
15.51068,120.899,100000,-430.627,0.128,-619.2579,False,0,0,0,0,0
16.00861,124.799,100000,-431.7435,0.128,-615.1224,False,0,0,0,0,0
16.51245,128.699,100000,-432.8687,0.128,-610.9456,False,0,0,0,0,0
17.01418,132.7551,100000,-434.0359,0.128,-606.5699,False,0,0,0,0,0
17.50908,136.4993,100000,-435.0996,0.128,-602.5114,False,0,0,0,0,0
18.01335,140.5554,100000,-436.2236,0.128,-598.113,False,0,0,0,0,0
18.50385,144.2995,100000,-437.2206,0.128,-594.065,False,0,0,0,0,0
19.00027,148.1997,100000,-438.2175,0.128,-589.8386,False,0,0,0,0,0
19.513,152.2558,100000,-439.1943,0.128,-585.4725,False,0,0,0,0,0
20.00078,156,100000,-440.0338,0.128,-581.4847,False,0,0,0,0,0
20.50975,159.9001,100000,-440.8332,0.128,-577.3898,False,0,0,0,0,0
21.00853,163.8003,100000,-441.5499,0.128,-573.3277,False,0,0,0,0,0
21.50558,167.7004,100000,-442.1809,0.128,-569.3145,False,0,0,0,0,0
22.00407,171.6006,100000,-442.7161,0.128,-565.3782,False,0,0,0,0,0
22.50955,175.5007,100000,-443.1488,0.128,-561.5162,False,0,0,0,0,0
23.01115,179.4009,100000,-443.4711,0.128,-557.715,False,0,0,0,0,0
23.51539,183.457,100000,-443.6865,0.128,-553.8091,False,0,0,0,0,0
24.00624,187.2012,100000,-443.773,0.128,-550.2653,False,0,0,0,0,0
24.51449,191.2573,100000,-443.741,0.128,-546.4843,False,0,0,0,0,0
