time,distance,health,x,y,z,holdout,holdout_time,police,camera_position_error,camera_angle_error,drift
0.1000004,0.7799997,11330,-420,0.12,-739.22,False,0,0,0,0,0
0.5259624,4.055998,11330,-416.8,0.12,-735.944,False,0,0,0,0,0
1.004326,7.800001,11330,-416.8,0.12,-732.2,False,0,0,0,0,0
1.51776,11.856,11330,-416.8,0.12,-728.144,False,0,0,0,0,0
2.013992,15.75601,11330,-416.8,0.12,-724.244,False,0,0,0,0,0
2.504768,19.50001,11330,-416.8,0.12,-720.5,False,0,0,0,0,0
3.011741,23.55602,11330,-416.8,0.12,-716.444,False,0,0,0,0,0
3.505213,27.30002,11330,-416.8,0.12,-712.7,False,0,0,0,0,0
4.012468,31.35602,11330,-416.8,0.12,-708.644,False,0,0,0,0,0
4.507703,35.25599,11330,-416.8,0.12,-704.744,False,0,0,0,0,0
5.007051,38.99994,11330,-416.8,0.12,-701.0001,False,0,0,0,0,0
5.513672,43.0559,11330,-416.8,0.12,-696.9441,False,0,0,0,0,0
6.006964,46.79985,11330,-416.8,0.12,-693.2001,False,0,0,0,0,0
6.512729,50.85581,11330,-416.8,0.12,-689.1442,False,0,0,0,0,0
7.007575,54.75576,11330,-416.8,0.12,-685.2443,False,0,0,0,0,0
7.509845,58.65572,11330,-416.8,0.12,-681.3443,False,0,0,0,0,0
8.00099,62.39968,11330,-416.8,0.12,-677.6003,False,0,0,0,0,0
8.516086,66.45564,11330,-416.8,0.12,-673.5444,False,0,0,0,0,0
9.01125,70.35559,11330,-416.8,0.12,-669.6444,False,0,0,0,0,0
9.512793,74.25555,11330,-416.8,0.12,-665.7444,False,0,0,0,0,0
10.00838,78.1555,11330,-416.8,0.12,-661.8445,False,0,0,0,0,0
10.50514,81.89946,11330,-416.8,0.128,-658.1005,False,0,0,0,0,0
11.00764,85.95541,11330,-416.8,0.128,-654.0446,False,0,0,0,0,0
11.50587,89.69937,11330,-416.8,0.128,-650.3006,False,0,0,0,0,0
