time,distance,health,x,y,z,holdout,holdout_time,police,camera_position_error,camera_angle_error,drift
0,0,11330,-420,0.12,-740,False,0,0,0,0,0
0.5118892,4.055998,11330,-416.8,0.12,-735.944,False,0,0,0,0,0
1.014961,7.956001,11330,-416.8,0.12,-732.044,False,0,0,0,0,0
1.517274,11.856,11330,-416.8,0.12,-728.144,False,0,0,0,0,0
2.002739,15.60001,11330,-416.8,0.12,-724.4,False,0,0,0,0,0
2.501739,19.50001,11330,-416.8,0.12,-720.5,False,0,0,0,0,0
3.000257,23.40001,11330,-416.8,0.12,-716.6,False,0,0,0,0,0
3.514448,27.45602,11330,-416.8,0.12,-712.544,False,0,0,0,0,0
4.002052,31.20002,11330,-416.8,0.12,-708.8,False,0,0,0,0,0
4.517115,35.25599,11330,-416.8,0.12,-704.744,False,0,0,0,0,0
5.008628,38.99994,11330,-416.8,0.12,-701.0001,False,0,0,0,0,0
5.509965,43.0559,11330,-416.8,0.12,-696.9441,False,0,0,0,0,0
6.010203,46.95585,11330,-416.8,0.12,-693.0441,False,0,0,0,0,0
6.507259,50.69981,11330,-416.8,0.12,-689.3002,False,0,0,0,0,0
7.005536,54.59977,11330,-416.8,0.12,-685.4002,False,0,0,0,0,0
7.516717,58.65572,11330,-416.8,0.12,-681.3443,False,0,0,0,0,0
8.008574,62.39968,11330,-416.8,0.12,-677.6003,False,0,0,0,0,0
8.508537,66.29964,11330,-416.8,0.12,-673.7004,False,0,0,0,0,0
9.008083,70.19959,11330,-416.8,0.12,-669.8004,False,0,0,0,0,0
9.507235,74.09955,11330,-416.8,0.12,-665.9005,False,0,0,0,0,0
10.02419,78.1555,11330,-416.8,0.12,-661.8445,False,0,0,0,0,0
10.50834,81.89946,11330,-416.8,0.128,-658.1005,False,0,0,0,0,0
11.01053,85.95541,11330,-416.8,0.128,-654.0446,False,0,0,0,0,0
11.51201,89.85537,11330,-416.8,0.128,-650.1447,False,0,0,0,0,0
12.01783,93.75533,11330,-416.8,0.128,-646.2447,False,0,0,0,0,0
12.51361,97.65528,11330,-416.8034,0.128,-642.3414,False,0,0,0,0,0
13.006,101.3992,11330,-416.7924,0.128,-638.6212,False,0,0,0,0,0
13.51946,105.4552,11330,-416.7403,0.128,-634.6156,False,0,0,0,0,0
14.01007,109.3551,11330,-416.6247,0.12,-630.7651,False,0,0,0,0,0
14.5081,113.0991,11330,-416.4584,0.12,-627.0678,False,0,0,0,0,0
15.01109,117.1551,11330,-416.219,0.12,-623.0598,False,0,0,0,0,0
15.51825,121.055,11330,-415.9334,0.12,-619.2028,False,0,0,0,0,0
16.00296,124.799,11330,-415.6111,0.12,-615.4965,False,0,0,0,0,0
