time,distance,health,x,y,z,holdout,holdout_time,police,camera_position_error,camera_angle_error,drift
0.1000001,-1,11330,0,0.12,-349.22,False,0,0,0,0,0
0.5037482,-1,11330,0,0.12,-346.0999,False,0,0,0,0,0
1.016375,-1,11330,0,0.12,-342.0437,False,0,0,0,0,0
1.504108,-1,11330,0,0.12,-338.2996,False,0,0,0,0,0
2.002415,-1,8580,0,0.12,-334.3994,False,0,0,0,0,0
2.503906,-1,8580,0,0.12,-330.4993,False,0,0,0,0,0
3.017586,-1,8580,0,0.12,-326.4431,False,0,0,0,0,0
3.505037,-1,8580,0,0.12,-322.543,False,0,0,0,0,0
4.001118,-1,8580,0,0.12,-318.7988,False,0,0,0,0,0
4.507891,-1,8580,0,0.12,-314.7427,False,0,0,0,0,0
5.003587,-1,8580,0,0.12,-310.9985,False,0,0,0,0,0
5.500961,-1,8580,0,0.12,-307.0984,False,0,0,0,0,0
6.010239,-1,8580,0,0.12,-303.0422,False,0,0,0,0,0
6.518251,-1,8580,0,0.12,-299.1421,False,0,0,0,0,0
7.001125,-1,8580,0,0.12,-295.3979,False,0,0,0,0,0
7.511271,-1,8580,0,0.12,-291.3418,False,0,0,0,0,0
8.019357,-1,8580,0,0.12,-287.4417,False,0,0,0,0,0
8.518962,-1,8580,0,0.12,-283.5415,False,0,0,0,0,0
9.018544,-1,8580,0,0.12,-279.6414,False,0,0,0,0,0
9.501965,-1,8580,0,0.12,-275.8972,False,0,0,0,0,0
10.01021,-1,8580,0,0.12,-271.8411,False,0,0,0,0,0
10.51457,-1,6601,0,0.12,-267.9409,False,0,0,0,0,0
11.02396,-1,6601,0,0.12,-264.0408,False,0,0,0,0,0
11.50883,-1,6601,0,0.12,-260.1406,False,0,0,0,0,0
12.00972,-1,6601,0,0.12,-256.2405,False,0,0,0,0,0
12.51648,-1,6601,0,0.12,-252.3403,False,0,0,0,0,0
13.02318,-1,5951,0,0.12,-248.4402,False,0,0,0,0,0
13.50007,-1,5951,0,0.12,-244.696,False,0,0,0,0,0
14.01645,-1,5951,0,0.12,-240.6399,False,0,0,0,0,0
14.5132,-1,5951,0,0.12,-236.7397,False,0,0,0,0,0
15.02098,-1,5951,0,0.12,-232.8396,False,0,0,0,0,0
15.50511,-1,5951,0,0.12,-228.9395,False,0,0,0,0,0
16.019,-1,5951,0,0.12,-225.0393,False,0,0,0,0,0
