time,distance,health,x,y,z,holdout,holdout_time,police,camera_position_error,camera_angle_error,drift
0.0999999,-1,11330,240,0.12,168.78,False,0,0,0,0,0
0.5062437,-1,11330,240,0.12,171.9001,False,0,0,0,0,0
1.012981,-1,11330,240,0.12,175.8003,False,0,0,0,0,0
1.509938,-1,11330,240,0.12,179.7004,False,0,0,0,0,0
2.007464,-1,11330,240,0.12,183.6006,False,0,0,0,0,0
2.513366,-1,11330,240,0.12,187.5007,False,0,0,0,0,0
3.010682,-1,11330,240,0.12,191.4009,False,0,0,0,0,0
3.508623,-1,11330,240,0.12,195.301,False,0,0,0,0,0
4.006567,-1,11330,240,0.12,199.2012,False,0,0,0,0,0
4.503353,-1,11330,240,0.12,203.1013,False,0,0,0,0,0
5.00752,-1,11330,240,0.12,207.0015,False,0,0,0,0,0
5.505864,-1,11330,240,0.12,210.9016,False,0,0,0,0,0
6.000803,-1,11330,240,0.12,214.8018,False,0,0,0,0,0
6.508691,-1,11330,240,0.145,218.7019,False,0,0,0,0,0
7.011477,-1,11330,240,0.145,222.6021,False,0,0,0,0,0
7.507387,-1,11330,240,0.145,226.5022,False,0,0,0,0,0
8.004322,-1,11330,240,0.145,230.4023,False,0,0,0,0,0
8.512188,-1,11330,240,0.145,234.3025,False,0,0,0,0,0
9.008301,-1,11330,240,0.145,238.2026,False,0,0,0,0,0
9.509248,-1,11330,240,0.145,239.2947,True,0.3628391,0,0,0,0
10.0009,-1,11330,240,0.145,239.2947,True,0.8544896,0,0,0,0
10.50505,-1,11330,240,0.145,239.2947,True,1.35864,0,0,0,0
11.00633,-1,11330,240,0.145,239.2947,True,1.859921,1,0,0,0
11.50501,-1,11330,240,0.145,239.2947,True,2.358603,1,0,0,0
12.00581,-1,11330,240,0.145,239.2947,True,2.859397,1,0,0,0
12.52206,-1,11330,240,0.145,239.2947,True,3.375646,2,0,0,0
13.01434,-1,11330,240,0.145,239.2947,True,3.867927,2,0,0,0
13.5197,-1,11330,240,0.145,239.2947,True,4.373293,3,0,0,0
14.00198,-1,11330,240,0.145,239.2947,True,4.855566,3,0,0,0
14.50016,-1,11330,240,0.145,239.2947,True,5.353751,4,0,0,0
15.01182,-1,11330,240,0.145,239.2947,True,5.865412,4,0,0,0
15.50034,-1,11330,240,0.145,239.2947,True,6.35393,5,0,0,0
16.00594,-1,11330,240,0.145,239.2947,True,6.859532,5,0,0,0
16.50174,-1,11330,240,0.145,239.2947,True,7.35533,6,0,0,0
17.00387,-1,11330,240,0.145,239.2947,True,7.857459,6,0,0,0
17.51319,-1,11330,240,0.145,239.2947,True,8.366776,7,0,0,0
18.01178,-1,11330,240,0.145,239.2947,True,8.865374,7,0,0,0
18.51428,-1,11330,240,0.145,239.2947,True,9.367869,8,0,0,0
19.00162,-1,11330,240,0.145,239.2947,True,9.855206,8,0,0,0
19.50273,-1,11330,240,0.145,239.2947,True,10.35632,9,0,0,0
20.01646,-1,11330,240,0.145,239.2947,True,10.87005,9,0,0,0
20.50038,-1,11330,240,0.145,239.2947,True,11.35398,10,0,0,0
21.00116,-1,11330,240,0.145,239.2947,True,11.85475,10,0,0,0
21.5134,-1,11330,240,0.145,239.2947,True,12.367,10,0,0,0
22.00704,-1,11330,240,0.145,239.2947,True,12.86064,11,0,0,0
22.51922,-1,11330,240,0.145,239.2947,True,13.37282,11,0,0,0
23.01715,-1,11330,240,0.145,239.2947,True,13.87075,12,0,0,0
23.52547,-1,11330,240,0.145,239.2947,True,14.37907,12,0,0,0
24.01025,-1,11330,240,0.145,239.2947,True,14.86385,13,0,0,0
24.50489,-1,11330,240,0.145,239.2947,True,15.35849,13,0,0,0
25.01292,-1,11330,240,0.145,239.2947,True,15.86652,14,0,0,0
