time,distance,health,x,y,z,holdout,holdout_time,police,camera_position_error,camera_angle_error,drift
0.09999847,-1,11330,240,0.12,168.78,False,0,0,0,0,0
0.5025253,-1,11330,240,0.12,171.9001,False,0,0,0,0,0
1.004868,-1,11330,240,0.12,175.8003,False,0,0,0,0,0
1.508957,-1,11330,240,0.12,179.7004,False,0,0,0,0,0
2.02475,-1,11330,240,0.12,183.7566,False,0,0,0,0,0
2.509781,-1,11330,240,0.12,187.5007,False,0,0,0,0,0
3.009041,-1,11330,240,0.12,191.4009,False,0,0,0,0,0
3.509102,-1,11330,240,0.12,195.301,False,0,0,0,0,0
4.00103,-1,11330,240,0.12,199.2012,False,0,0,0,0,0
4.526306,-1,11330,240,0.12,203.2573,False,0,0,0,0,0
5.010132,-1,11330,240,0.12,207.0015,False,0,0,0,0,0
5.503433,-1,11330,240,0.12,210.9016,False,0,0,0,0,0
6.00293,-1,11330,240,0.12,214.8018,False,0,0,0,0,0
6.5252,-1,11330,240,0.145,218.8579,False,0,0,0,0,0
7.003128,-1,11330,240,0.145,222.6021,False,0,0,0,0,0
7.503014,-1,11330,240,0.145,226.5022,False,0,0,0,0,0
8.002869,-1,11330,240,0.145,230.4023,False,0,0,0,0,0
8.511581,-1,11330,240,0.145,234.3025,False,0,0,0,0,0
9.001198,-1,11330,240,0.145,238.2026,False,0,0,0,0,0
9.510147,-1,11330,240,0.145,239.2947,True,0.3721609,0,0,0,0
10.01167,-1,11330,240,0.145,239.2947,True,0.8736879,0,0,0,0
10.50797,-1,11330,240,0.145,239.2947,True,1.369983,0,0,0,0
11.0096,-1,11330,240,0.145,239.2947,True,1.871614,1,0,0,0
11.51035,-1,11330,240,0.145,239.2947,True,2.372365,1,0,0,0
12.02492,-1,11330,240,0.145,239.2947,True,2.886933,2,0,0,0
12.50784,-1,11330,240,0.145,239.2947,True,3.36985,2,0,0,0
13.01105,-1,11330,240,0.145,239.2947,True,3.873064,2,0,0,0
13.50323,-1,11330,240,0.145,239.2947,True,4.365251,3,0,0,0
14.00735,-1,11330,240,0.145,239.2947,True,4.869364,3,0,0,0
14.51116,-1,11330,240,0.145,239.2947,True,5.373177,4,0,0,0
15.00521,-1,11330,240,0.145,239.2947,True,5.867221,4,0,0,0
15.51122,-1,11330,240,0.145,239.2947,True,6.373231,5,0,0,0
16.00263,-1,11330,240,0.145,239.2947,True,6.864647,5,0,0,0
16.51274,-1,11330,240,0.145,239.2947,True,7.374754,6,0,0,0
17.01237,-1,11330,240,0.145,239.2947,True,7.874387,6,0,0,0
17.51357,-1,11330,240,0.145,239.2947,True,8.375585,7,0,0,0
18.00285,-1,11330,240,0.145,239.2947,True,8.864869,7,0,0,0
18.50529,-1,11330,240,0.145,239.2947,True,9.367308,8,0,0,0
19.01322,-1,11330,240,0.145,239.2947,True,9.875237,8,0,0,0
19.51334,-1,11330,240,0.145,239.2947,True,10.37536,9,0,0,0
20.01561,-1,11330,240,0.145,239.2947,True,10.87762,9,0,0,0
20.50269,-1,11330,240,0.145,239.2947,True,11.3647,10,0,0,0
21.01431,-1,11330,240,0.145,239.2947,True,11.87632,10,0,0,0
21.51299,-1,11330,240,0.145,239.2947,True,12.37501,10,0,0,0
22.01383,-1,11330,240,0.145,239.2947,True,12.87585,11,0,0,0
22.50693,-1,11330,240,0.145,239.2947,True,13.36894,11,0,0,0
23.00264,-1,11330,240,0.145,239.2947,True,13.86465,12,0,0,0
23.50304,-1,11330,240,0.145,239.2947,True,14.36505,12,0,0,0
24.01087,-1,11330,240,0.145,239.2947,True,14.87288,13,0,0,0
24.50728,-1,11330,240,0.145,239.2947,True,15.36929,13,0,0,0
25.00588,-1,11330,240,0.145,239.2947,True,15.86789,14,0,0,0
25.50932,-1,11330,240,0.145,239.2947,True,16.37132,14,0,0,0
