run,chapter,seconds,outcome,start_hp,start_attack,attack_level,health_level,attack_speed_level,purchases,spent,earned,bank,fatal_cause
1,1,34.8,death,60.0,8.0,0,0,0,0,0,20,20,EnemyContact
2,1,49.4,death,80.0,12.0,1,1,0,2,20,30,30,EnemyContact
3,1,59.33,death,110.0,16.0,2,2,0,2,30,40,40,EnemyContact
4,1,59.33,death,150.0,20.0,3,3,0,2,40,40,40,EnemyContact
5,1,71.27,death,200.0,20.0,3,4,0,1,27,50,63,EnemyContact
6,1,59.33,death,200.0,24.0,4,4,0,1,27,40,76,EnemyContact
7,1,59.3,death,260.0,24.0,4,5,0,1,38,40,78,EnemyContact
8,1,71.23,death,330.0,24.0,4,6,0,1,53,50,75,EnemyContact
9,1,71.3,death,330.0,28.0,5,6,0,1,38,60,97,EnemyContact
10,1,91.93,death,410.0,28.0,5,7,0,1,72,110,135,Crate
11,1,91.9,death,410.0,32.0,6,7,0,1,53,120,202,Crate
12,1,94.8,death,500.0,36.0,7,8,0,2,167,110,145,EnemyContact
13,1,106.27,death,600.0,36.0,7,9,0,1,122,140,163,EnemyContact
14,1,237.97,death,600.0,40.0,8,9,1,2,140,250,273,EnemyContact
15,1,118.83,death,710.0,40.0,8,10,1,1,153,150,270,EnemyContact
16,1,190.03,death,710.0,44.0,9,10,1,1,122,210,358,EnemyContact
17,1,190.03,death,830.0,44.0,9,11,2,2,253,230,335,EnemyContact
18,1,133.1,death,960.0,44.0,9,12,2,1,227,160,268,EnemyContact
19,1,264.0,death,960.0,48.0,10,12,3,2,238,290,320,EnemyContact
20,1,264.0,death,1100.0,48.0,10,13,3,1,270,280,330,EnemyContact
21,1,281.03,death,1100.0,52.0,11,13,4,2,293,290,327,EnemyContact
22,1,288.63,death,1250.0,52.0,11,14,4,1,317,300,310,EnemyContact
23,1,281.1,death,1250.0,56.0,12,14,4,1,227,300,383,EnemyContact
24,1,281.0,death,1250.0,56.0,12,14,5,1,125,310,568,EnemyContact
25,1,281.07,death,1410.0,56.0,12,15,6,2,513,300,355,EnemyContact
26,1,288.63,death,1410.0,60.0,13,15,6,1,270,310,395,EnemyContact
27,1,288.6,death,1410.0,60.0,13,15,6,0,0,310,705,EnemyContact
28,1,288.6,death,1580.0,60.0,13,16,7,2,588,300,417,EnemyContact
29,1,288.7,death,1580.0,60.0,13,16,7,0,0,310,727,EnemyContact
30,1,305.5,clear,1760.0,60.0,13,17,7,1,482,380,625,
31,2,42.8,death,1760.0,64.0,14,17,8,2,502,600,723,EnemyContact
32,2,42.8,death,1950.0,64.0,14,18,8,1,545,600,778,EnemyContact
33,2,42.8,death,1950.0,68.0,15,18,9,2,573,600,805,EnemyContact
34,2,100.07,death,1950.0,68.0,15,18,10,1,225,1300,1880,EnemyProjectile
35,2,100.5,death,2150.0,72.0,16,19,11,3,1280,1300,1900,EnemyContact
36,2,100.5,death,2360.0,76.0,17,20,12,3,1430,1300,1770,EnemyContact
37,2,100.5,death,2580.0,76.0,17,21,14,3,1348,1300,1722,EnemyContact
38,2,100.5,death,2810.0,80.0,18,22,15,3,1707,1300,1315,EnemyContact
39,2,112.03,death,3050.0,80.0,18,23,16,2,1265,1600,1650,EnemyContact
40,2,112.03,death,3050.0,84.0,19,23,17,2,977,1600,2273,EnemyContact
41,2,100.5,death,3300.0,88.0,20,24,18,3,2075,1600,1798,EnemyContact
42,2,181.23,death,3560.0,88.0,20,25,19,2,1503,2900,3195,EnemyContact
43,2,169.73,death,3830.0,92.0,21,26,21,4,2821,2600,2974,EnemyContact
44,2,169.77,death,4110.0,96.0,22,27,22,3,2594,2600,2980,EnemyContact
45,2,180.8,death,4400.0,96.0,22,28,24,3,2385,3200,3795,EnemyProjectile
46,2,181.27,death,4700.0,100.0,23,29,26,4,3492,2900,3203,EnemyContact
47,2,285.13,death,5010.0,104.0,24,30,27,3,3185,4500,4518,EnemyContact
48,2,180.8,death,5330.0,108.0,25,31,29,4,4016,3400,3902,EnemyProjectile
49,2,298.57,clear,5660.0,112.0,26,32,30,3,3665,5300,5537,
50,3,187.13,death,6350.0,116.0,27,34,30,3,5359,5950,6128,EnemyProjectile
51,3,187.13,death,6710.0,124.0,29,35,30,3,5125,5950,6953,EnemyProjectile
52,3,231.5,death,7460.0,128.0,30,37,30,3,6478,7700,8175,EnemyContact
53,3,196.6,death,8250.0,132.0,31,39,30,3,7165,6300,7310,EnemyContact
54,3,283.43,death,8660.0,140.0,33,40,30,3,6760,9450,10000,EnemyContact
55,3,274.1,death,9510.0,144.0,34,42,30,3,8452,9100,10648,EnemyProjectile
56,3,299.43,clear,9950.0,152.0,36,43,30,3,8011,10500,13137,
