FLOOR	Road_LeftTurn_X+87_Z-526	(19.58, 0.00, -111.75)	Center: (25.51, -10.12, -115.02), Extents: (6.00, 13.87, 4.18)	(27.09, 0.04, -115.11)
ROAD	Road_LeftTurn_X+87_Z-526	(19.58, 0.00, -111.75)	(0.00, 270.00, 0.00)	(2.20, 4.00, 2.24)
ROAD	Road_LeftTurn_X+37_Z-526	(8.33, 0.00, -111.75)	(0.00, 270.00, 0.00)	(2.20, 4.00, 2.24)
ROAD	Road_LeftTurn_X-12_Z-527	(-3.00, 0.00, -111.78)	(0.00, 270.00, 0.00)	(2.20, 4.00, 2.24)
ROAD	Road_Basic_X-62_Z-497	(-7.45, 0.00, -100.53)	(0.00, 0.00, 0.00)	(2.20, 4.00, 2.24)
ROAD	SR18_Road_076_Basic	(23.00, 12.00, -77.75)	(0.00, 90.00, 0.00)	(2.20, 4.00, 2.24)
ROAD	SR18_Road_077_Basic	(34.25, 12.00, -77.75)	(0.00, 90.00, 0.00)	(2.20, 4.00, 2.24)
ROAD	SR18_Road_075_Basic	(11.75, 12.00, -77.75)	(0.00, 90.00, 0.00)	(2.20, 4.00, 2.24)
ROAD	Road_LeftTurn_X-62_Z-527	(-14.25, 0.00, -111.78)	(0.00, 270.00, 0.00)	(2.20, 4.00, 2.24)
ROAD	SR18_Road_078_Basic	(45.50, 12.00, -77.75)	(0.00, 90.00, 0.00)	(2.20, 4.00, 2.24)
ROAD	Road_Basic_X-62_Z-447	(-7.45, 0.00, -89.28)	(0.00, 0.00, 0.00)	(2.20, 4.00, 2.24)
ROAD	SR18_Road_074_Basic	(0.50, 12.00, -77.75)	(0.00, 90.00, 0.00)	(2.20, 4.00, 2.24)
ROAD	SR18_Road_079_Basic	(56.75, 12.00, -77.75)	(0.00, 90.00, 0.00)	(2.20, 4.00, 2.24)
ANIM	SR18_L_E01_T005_Enemy_OldMan	Enemy_OldMan	old man act,old man act,Armature|Walk_Loop,Armature|Sprint_Loop,old man die,old man act,old man act
ANIM	SR18_L_E01_T005_Enemy_OldMan_Right	Enemy_OldMan	old man act,old man act,Armature|Walk_Loop,Armature|Sprint_Loop,old man die,old man act,old man act
