PLAYER	(27.09, 0.12, -115.11)	(-1.00, 0.00, 0.00)
ROADS
Road_Basic_X-63_Z-347	(-7.68, 0.00, -66.78)	(0.00, 0.00, 0.00)	(2.20, 4.00, 2.24)	(-10.95, -10.12, -72.71)	(8.37, 27.73, 12.00)		(0.00, 0.00, 0.00)
Road_Basic_X-63_Z-297	(-7.68, 0.00, -55.53)	(0.00, 0.00, 0.00)	(2.20, 4.00, 2.24)	(-10.95, -10.12, -61.46)	(8.37, 27.73, 12.00)		(0.00, 0.00, 0.00)
Road_Basic_X-63_Z-246	(-7.68, 0.00, -44.05)	(0.00, 0.00, 0.00)	(2.20, 4.00, 2.24)	(-10.95, -10.12, -49.99)	(8.37, 27.73, 12.00)		(0.00, 0.00, 0.00)
Road_Basic_X-62_Z-397	(-7.45, 0.00, -78.03)	(0.00, 0.00, 0.00)	(2.20, 4.00, 2.24)	(-10.72, -10.12, -83.96)	(8.37, 27.73, 12.00)		(0.00, 0.00, 0.00)
Road_Basic_X+838_Z-47	(195.05, 0.00, 0.72)	(0.00, 0.00, 0.00)	(2.20, 4.00, 2.24)	(191.78, -10.12, -5.21)	(8.37, 27.73, 12.00)		(0.00, 0.00, 0.00)
Road_Basic_X+838_Z+03	(195.05, 0.00, 11.97)	(0.00, 0.00, 0.00)	(2.20, 4.00, 2.24)	(191.78, -10.12, 6.04)	(8.37, 27.73, 12.00)		(0.00, 0.00, 0.00)
Road_Basic_X+838_Z+53	(195.05, 0.00, 23.22)	(0.00, 0.00, 0.00)	(2.20, 4.00, 2.24)	(191.78, -10.12, 17.29)	(8.37, 27.73, 12.00)		(0.00, 0.00, 0.00)
Road_Basic_X+838_Z+103	(195.05, 0.00, 34.47)	(0.00, 0.00, 0.00)	(2.20, 4.00, 2.24)	(191.78, -10.12, 28.54)	(8.37, 27.73, 12.00)		(0.00, 0.00, 0.00)
Road_Basic_X+838_Z+153	(195.05, 0.00, 45.72)	(0.00, 0.00, 0.00)	(2.20, 4.00, 2.24)	(191.78, -10.12, 39.79)	(8.37, 27.73, 12.00)		(0.00, 0.00, 0.00)
Road_Basic_X+538_Z+173	(127.55, 0.00, 50.22)	(0.00, 0.00, 0.00)	(2.20, 4.00, 2.24)	(124.28, -10.12, 44.29)	(8.37, 27.73, 12.00)		(0.00, 0.00, 0.00)
Road_Basic_X+538_Z+123	(127.55, 0.00, 38.97)	(0.00, 0.00, 0.00)	(2.20, 4.00, 2.24)	(124.28, -10.12, 33.04)	(8.37, 27.73, 12.00)		(0.00, 0.00, 0.00)
Road_Basic_X+538_Z+73	(127.55, 0.00, 27.72)	(0.00, 0.00, 0.00)	(2.20, 4.00, 2.24)	(124.28, -10.12, 21.79)	(8.37, 27.73, 12.00)		(0.00, 0.00, 0.00)
PROPS
Prop_Noryangjin_TurnSpot_X-48_Z-510	(-10.80, 0.00, -114.75)	(0.00, 270.00, 0.00)	(2.00, 1.00, 1.00)	(0.00, 0.00, 0.00)	(0.00, 0.00, 0.00)		(0.00, 0.00, 0.00)
Prop_008_STAGE01_NRY_PROPS_008_Seagull_perch_post_X-61_Z-496	(-13.55, 2.70, -111.42)	(270.02, 0.00, 0.00)	(150.00, 150.00, 150.00)	(-13.55, 3.88, -111.42)	(0.34, 0.66, 0.85)		(0.00, 0.00, 0.00)
Prop_008_STAGE01_NRY_PROPS_008_Seagull_perch_post_X-64_Z-451	(-14.22, 2.70, -101.29)	(270.00, 45.00, 0.00)	(150.00, 150.00, 150.00)	(-14.22, 3.88, -101.29)	(0.85, 0.66, 0.85)		(0.00, 0.00, 0.00)
Prop_008_STAGE01_NRY_PROPS_008_Seagull_perch_post_X-64_Z-451 (1)	(-14.22, 2.70, -101.29)	(270.00, 45.00, 0.00)	(150.00, 150.00, 150.00)	(-14.22, 3.88, -101.29)	(0.85, 0.66, 0.85)		(0.00, 0.00, 0.00)
Prop_008_STAGE01_NRY_PROPS_008_Seagull_perch_post_X-33_Z-451	(-7.25, 2.70, -101.29)	(270.00, 270.00, 0.00)	(150.00, 150.00, 150.00)	(-7.25, 3.88, -101.29)	(0.85, 0.66, 0.34)		(0.00, 0.00, 0.00)
Prop_008_STAGE01_NRY_PROPS_008_Seagull_perch_post_X-33_Z-401	(-7.25, 2.70, -90.04)	(270.00, 45.00, 0.00)	(150.00, 150.00, 150.00)	(-7.25, 3.88, -90.04)	(0.85, 0.66, 0.85)		(0.00, 0.00, 0.00)
Prop_008_STAGE01_NRY_PROPS_008_Seagull_perch_post_X-64_Z-401	(-14.22, 2.70, -90.04)	(270.00, 135.00, 0.00)	(150.00, 150.00, 150.00)	(-14.22, 3.88, -90.04)	(0.85, 0.66, 0.85)		(0.00, 0.00, 0.00)
Prop_008_STAGE01_NRY_PROPS_008_Seagull_perch_post_X-64_Z-351	(-14.22, 2.70, -78.79)	(270.00, 90.00, 0.00)	(150.00, 150.00, 150.00)	(-14.22, 3.88, -78.79)	(0.85, 0.66, 0.34)		(0.00, 0.00, 0.00)
Prop_008_STAGE01_NRY_PROPS_008_Seagull_perch_post_X-33_Z-351	(-7.25, 2.70, -78.79)	(270.00, 270.00, 0.00)	(150.00, 150.00, 150.00)	(-7.25, 3.88, -78.79)	(0.85, 0.66, 0.34)		(0.00, 0.00, 0.00)
Prop_035_STAGE01_NRY_PROPS_024_Anchor_prop_X-62_Z-357	(-12.47, 0.00, -83.36)	(0.00, 338.90, 0.00)	(250.00, 250.00, 250.00)	(-12.92, 0.00, -82.19)	(3.07, 0.45, 3.17)		(0.00, 0.00, 0.00)
Prop_024_STAGE01_NRY_PROPS_012_Life_ring_buoy_X-38_Z-352	(-8.51, 0.00, -79.20)	(0.00, 0.00, 0.00)	(250.00, 250.00, 250.00)	(-8.51, 0.00, -78.45)	(1.52, 0.42, 1.50)		(0.00, 0.00, 0.00)
Prop_018_STAGE01_NRY_BG_002_Harbor_fishing_boat_X-117_Z-347	(-24.20, -2.50, -77.94)	(270.00, 17.51, 0.00)	(400.00, 400.00, 400.00)	(-24.20, 4.50, -77.94)	(21.31, 14.00, 13.92)		(0.00, 0.00, 0.00)
Prop_040_STAGE01_NRY_DCR_030_Fish_scrap_floor_scatter_X-52_Z-423	(-12.75, -2.00, -94.78)	(270.00, 0.00, 0.00)	(200.00, 200.00, 200.00)	(-12.75, -1.85, -94.77)	(1.76, 0.30, 1.66)		(0.00, 0.00, 0.00)
Prop_045_STAGE01_NRY_GAMEPLAY_037_Harbor_lane_signal_gantry_X-85_Z-505	(-10.73, 0.02, -110.33)	(270.00, 180.00, 0.00)	(240.00, 240.00, 240.00)	(-10.73, 3.02, -110.33)	(8.37, 6.00, 2.84)		(0.00, 0.00, 0.00)
Prop_040_STAGE01_NRY_DCR_030_Fish_scrap_floor_scatter_X+73_Z-487	(16.90, -2.00, -109.18)	(270.00, 0.00, 0.00)	(100.00, 100.00, 100.00)	(16.90, -1.93, -109.17)	(0.88, 0.15, 0.83)		(0.00, 0.00, 0.00)
Prop_040_STAGE01_NRY_DCR_030_Fish_scrap_floor_scatter_X+68_Z-547	(15.77, -2.00, -122.68)	(270.00, 0.00, 0.00)	(100.00, 100.00, 100.00)	(15.77, -1.93, -122.67)	(0.88, 0.15, 0.83)		(0.00, 0.00, 0.00)
Prop_040_STAGE01_NRY_DCR_030_Fish_scrap_floor_scatter_X-87_Z-512	(-19.11, -2.00, -114.80)	(270.00, 0.00, 0.00)	(100.00, 100.00, 100.00)	(-19.11, -1.93, -114.80)	(0.88, 0.15, 0.83)		(0.00, 0.00, 0.00)
Prop_040_STAGE01_NRY_DCR_030_Fish_scrap_floor_scatter_X-32_Z-551	(-6.73, -2.00, -123.58)	(270.00, 0.00, 0.00)	(100.00, 100.00, 100.00)	(-6.73, -1.93, -123.57)	(0.88, 0.15, 0.83)		(0.00, 0.00, 0.00)
