구간,기존 PNG 목록 기준 ID,환경 추가·보완,장비 추가 검토,비고
01,R01 R02 R03 R04 R05 R06 R07 R08 R12,E06,,반복 배치는 원본을 공유; PNG의 구간 표시는 재사용 가능 범위 전체가 아님
02,R01 R03 R09 R10 R11 R12 V01 V02 V03 V04 V05 V06,E05 E06,P03,반복 배치는 원본을 공유; PNG의 구간 표시는 재사용 가능 범위 전체가 아님
03,R03 R11 B01 B02 B03 B04 B08 B09 B10 B11 B12 F01 F02 F03 F04 F05 F06 S01 S02 S04 S05 S11 S12 S13,E04 E06 E07,P05 P06,반복 배치는 원본을 공유; PNG의 구간 표시는 재사용 가능 범위 전체가 아님
04,B01 B02 B04 B05 B06 B07 B08 B09 B12 F05 F06,E04 E07,P05,반복 배치는 원본을 공유; PNG의 구간 표시는 재사용 가능 범위 전체가 아님
05,B01 B02 B03 B04 B05 F01 F02 F03 F05 F11 S01 S02 S04 S11 S12,E06 E07,P01 P02,반복 배치는 원본을 공유; PNG의 구간 표시는 재사용 가능 범위 전체가 아님
06,B01 B02 B03 B04 B05 F02 F03 F05 F07 F08 F09 F10 S01 S02 S04 S05 S11 S12 S13,E07,P06,반복 배치는 원본을 공유; PNG의 구간 표시는 재사용 가능 범위 전체가 아님
07,B01 B02 B03 B04 B05 F02 F03 F05 F10 S03 S04 S05 S06 S07 S08 S09 S10 S13 S14 S15 T09,E03 E07,,반복 배치는 원본을 공유; PNG의 구간 표시는 재사용 가능 범위 전체가 아님
08,B01 B02 B03 B04 F03 F05 F10 T01 T02 T03 T04 T05 T06 T07 T08 T09,E01 E02 E07,P04,반복 배치는 원본을 공유; PNG의 구간 표시는 재사용 가능 범위 전체가 아님
09,R03 R10 R12 B04 F05 F06 G01 G02 G03 G04 V01 V02 V03 V04 V05 V06,E06 E07,P03,반복 배치는 원본을 공유; PNG의 구간 표시는 재사용 가능 범위 전체가 아님
10,R01 R02 R03 R04 R05 R06 R07 R08 R12 V01 V02 V03 V04 V05 V06,E06,,반복 배치는 원본을 공유; PNG의 구간 표시는 재사용 가능 범위 전체가 아님
