time,route,health,x,y,z,holdout,holdout_time,police,shots,drift
0.03337479,0.3119999,5660,-420,0.12,-739.688,False,0,0,1,0
0.3014538,2.339999,5660,-416.8007,0.12,-737.66,False,0,0,2,0
0.5683498,4.523998,5660,-416.8,0.12,-735.476,False,0,0,3,0
0.8355143,6.552,5660,-416.8,0.12,-733.448,False,0,0,4,0
1.11676,8.736002,5660,-416.8,0.12,-731.264,False,0,0,5,0
1.381684,10.764,5660,-416.8,0.12,-729.236,False,0,0,6,0
1.648585,12.94801,5660,-416.8,0.12,-727.052,False,0,0,7,0
1.916239,14.97601,5660,-416.8,0.12,-725.024,False,0,0,8,0
2.183994,17.00401,5660,-416.8,0.12,-722.996,False,0,0,9,0
2.448769,19.18801,5660,-416.8,0.12,-720.812,False,0,0,10,0
2.716232,21.21601,5660,-416.8,0.12,-718.784,False,0,0,11,0
2.981436,23.24401,5660,-416.8,0.12,-716.756,False,0,0,12,0
3.244052,25.27202,5660,-416.8,0.12,-714.728,False,0,0,14,0
3.510672,27.45602,5660,-416.8,0.12,-712.544,False,0,0,15,0
3.778175,29.48402,5660,-416.8,0.12,-710.516,False,0,0,16,0
4.035665,31.51202,5660,-416.8,0.12,-708.488,False,0,0,17,0
4.310619,33.696,5660,-416.8,0.12,-706.304,False,0,0,18,0
4.5772,35.72398,5660,-416.8,0.12,-704.276,False,0,0,19,0
4.844439,37.90796,5660,-416.8,0.12,-702.092,False,0,0,20,0
5.107842,39.93593,5660,-416.8,0.12,-700.0641,False,0,0,21,0
5.373,41.96391,5660,-416.8,0.12,-698.0361,False,0,0,22,0
5.64075,43.99189,5660,-416.8,0.12,-696.0081,False,0,0,23,0
5.908126,46.17586,5660,-416.8,0.12,-693.8242,False,0,0,24,0
6.175044,48.20384,5660,-416.8,0.12,-691.7961,False,0,0,25,0
6.439983,50.23182,5660,-416.8,0.12,-689.7682,False,0,0,26,0
6.708741,52.41579,5660,-416.8,0.12,-687.5842,False,0,0,27,0
6.973621,54.44377,5660,-416.8,0.12,-685.5562,False,0,0,28,0
7.244289,56.62774,5660,-416.8,0.12,-683.3723,False,0,0,30,0
7.509996,58.65572,5660,-416.8,0.12,-681.3443,False,0,0,31,0
7.778893,60.6837,5660,-416.8,0.12,-679.3163,False,0,0,32,0
8.04689,62.86767,5660,-416.8,0.12,-677.1323,False,0,0,33,0
8.312733,64.89565,5660,-416.8,0.12,-675.1044,False,0,0,34,0
8.579705,66.92363,5660,-416.8,0.12,-673.0764,False,0,0,35,0
8.845377,69.1076,5660,-416.8,0.12,-670.8924,False,0,0,36,0
9.144919,71.44758,5660,-416.8,0.12,-668.5524,False,0,0,37,0
9.410475,73.47556,5660,-416.8,0.12,-666.5245,False,0,0,38,0
9.67558,75.50353,5660,-416.8,0.12,-664.4965,False,0,0,39,0
9.944057,77.53151,5660,-416.8,0.12,-662.4685,False,0,0,40,0
10.21143,79.71548,5660,-416.8,0.12,-660.2845,False,0,0,41,0
10.47536,81.74346,5660,-416.8,0.128,-658.2565,False,0,0,42,0
10.74252,83.77144,5660,-416.8,0.128,-656.2286,False,0,0,44,0
11.01044,85.95541,5660,-416.8,0.128,-654.0446,False,0,0,45,0
11.27719,87.98339,5660,-416.8,0.128,-652.0166,False,0,0,46,0
11.54503,90.16737,5660,-416.8,0.128,-649.8326,False,0,0,47,0
11.81064,92.19534,5660,-416.8,0.128,-647.8046,False,0,0,48,0
12.0797,94.22332,5660,-416.8,0.128,-645.7767,False,0,0,49,0
12.34438,96.4073,5660,-416.8015,0.128,-643.5875,False,0,0,50,0
12.6092,98.43527,5660,-416.8038,0.128,-641.5656,False,0,0,51,0
12.87769,100.4632,5660,-416.7977,0.128,-639.5537,False,0,0,52,0
13.18026,102.8032,5660,-416.7813,0.128,-637.2286,False,0,0,53,0
13.44528,104.9872,5660,-416.75,0.128,-635.0768,False,0,0,54,0
13.7111,107.0152,5660,-416.7012,0.128,-633.0759,False,0,0,55,0
13.9774,109.0432,5660,-416.6362,0.12,-631.0734,False,0,0,56,0
14.24621,111.2271,5660,-416.5485,0.12,-628.9169,False,0,0,58,0
14.51067,113.2551,5660,-416.4503,0.12,-626.9137,False,0,0,59,0
14.77839,115.2831,5660,-416.337,0.12,-624.9092,False,0,0,60,0
15.04662,117.4671,5660,-416.1981,0.12,-622.7514,False,0,0,61,0
15.31523,119.495,5660,-416.0538,0.12,-620.7452,False,0,0,62,0
15.59621,121.679,5660,-415.8828,0.12,-618.5855,False,0,0,63,0
15.86117,123.707,5660,-415.7097,0.12,-616.5783,False,0,0,64,0
