time,route,health,x,y,z,holdout,holdout_time,police,shots,drift
0.03934443,-1,11330,240,0.12,178.312,False,0,0,1,0
0.3054583,-1,11330,240,0.12,180.3401,False,0,0,2,0
0.5701115,-1,11330,240,0.12,182.3682,False,0,0,3,0
0.8365357,-1,11330,240,0.12,184.5522,False,0,0,4,0
1.119066,-1,11330,240,0.12,186.7363,False,0,0,5,0
1.386277,-1,11330,240,0.12,188.7644,False,0,0,6,0
1.653523,-1,11330,240,0.12,190.9485,False,0,0,7,0
1.918313,-1,11330,240,0.12,192.9766,False,0,0,8,0
2.186784,-1,11330,240,0.12,195.0046,False,0,0,9,0
2.452977,-1,11330,240,0.12,197.1887,False,0,0,10,0
2.708085,-1,11330,240,0.12,199.0608,False,0,0,11,0
3.004296,-1,11330,240,0.12,201.4009,False,0,0,13,0
3.264018,-1,11330,240,0.12,203.429,False,0,0,14,0
3.530344,-1,11330,240,0.12,205.457,False,0,0,15,0
3.798083,-1,11330,240,0.12,207.6411,False,0,0,16,0
4.062618,-1,11330,240,0.12,209.6692,False,0,0,17,0
4.327744,-1,11330,240,0.12,211.6973,False,0,0,18,0
4.59834,-1,11330,240,0.12,213.8813,False,0,0,19,0
4.861983,-1,11330,240,0.12,215.9094,False,0,0,20,0
5.137795,-1,11330,240,0.12,218.0935,False,0,0,21,0
5.403635,-1,11330,240,0.145,220.1216,False,0,0,22,0
5.702094,-1,11330,240,0.145,222.4617,False,0,0,23,0
5.964817,-1,11330,240,0.145,224.4897,False,0,0,24,0
6.236205,-1,11330,240,0.145,226.6738,False,0,0,25,0
6.502066,-1,11330,240,0.145,228.7019,False,0,0,27,0
6.766723,-1,11330,240,0.145,230.73,False,0,0,28,0
7.030953,-1,11330,240,0.145,232.7581,False,0,0,29,0
7.300835,-1,11330,240,0.145,234.9421,False,0,0,30,0
7.568228,-1,11330,240,0.145,236.9702,False,0,0,31,0
7.82506,-1,11330,240,0.145,238.9983,False,0,0,32,0
8.099844,-1,11330,240,0.145,239.3103,True,0.2356792,0,32,0
8.434456,-1,11330,240,0.145,239.3103,True,0.5702896,0,32,0
8.684513,-1,11330,240,0.145,239.3103,True,0.8203466,0,32,0
8.95225,-1,11330,240,0.145,239.3103,True,1.088084,0,32,0
9.225475,-1,11330,240,0.145,239.3103,True,1.361309,0,32,0
9.486639,-1,11330,240,0.145,239.3103,True,1.622473,0,32,0
9.751408,-1,11330,240,0.145,239.3103,True,1.887242,1,33,0
10.02027,-1,11330,240,0.145,239.3103,True,2.156102,1,34,0
10.29438,-1,11330,240,0.145,239.3103,True,2.430211,1,35,0
10.56068,-1,11330,240,0.145,239.3103,True,2.696517,1,36,0
10.82771,-1,11330,240,0.145,239.3103,True,2.963543,2,37,0
11.09345,-1,11330,240,0.145,239.3103,True,3.229281,2,38,0
11.35879,-1,11330,240,0.145,239.3103,True,3.494627,2,39,0
11.62727,-1,11330,240,0.145,239.3103,True,3.763107,2,40,0
11.8991,-1,11330,240,0.145,239.3103,True,4.034935,3,41,0
12.1653,-1,11330,240,0.145,239.3103,True,4.301131,3,42,0
12.43229,-1,11330,240,0.145,239.3103,True,4.568127,3,43,0
12.6994,-1,11330,240,0.145,239.3103,True,4.835229,3,44,0
