time,route,health,x,y,z,holdout,holdout_time,police,shots,drift
0.03108525,0.3119999,5660,-420,0.12,-739.688,False,0,0,1,0
0.2990992,2.339999,5660,-423.1992,0.12,-737.66,False,0,0,2,0
0.5660017,4.523998,5660,-423.2,0.12,-735.476,False,0,0,3,0
0.8350301,6.552,5660,-423.2,0.12,-733.448,False,0,0,4,0
1.118772,8.736002,5660,-423.2,0.12,-731.264,False,0,0,5,0
1.384905,10.92,5660,-423.2,0.12,-729.08,False,0,0,6,0
1.649725,12.94801,5660,-423.2,0.12,-727.052,False,0,0,7,0
1.916733,14.97601,5660,-423.2,0.12,-725.024,False,0,0,8,0
2.182367,17.00401,5660,-423.2,0.12,-722.996,False,0,0,9,0
2.450038,19.18801,5660,-423.2,0.12,-720.812,False,0,0,10,0
2.717906,21.21601,5660,-423.2,0.12,-718.784,False,0,0,11,0
2.985324,23.40001,5660,-423.2,0.12,-716.6,False,0,0,13,0
3.249126,25.42802,5660,-423.2,0.12,-714.572,False,0,0,14,0
3.516588,27.45602,5660,-423.2,0.12,-712.544,False,0,0,15,0
3.784497,29.64002,5660,-423.2,0.12,-710.36,False,0,0,16,0
4.052093,31.66802,5660,-423.2,0.12,-708.332,False,0,0,17,0
4.316453,33.696,5660,-423.2,0.12,-706.304,False,0,0,18,0
4.583408,35.87998,5660,-423.2,0.12,-704.12,False,0,0,19,0
4.84964,37.90796,5660,-423.2,0.12,-702.092,False,0,0,20,0
5.117784,39.93593,5660,-423.2,0.12,-700.0641,False,0,0,21,0
5.385331,42.11991,5660,-423.2,0.12,-697.8801,False,0,0,22,0
5.649503,44.14788,5660,-423.2,0.12,-695.8521,False,0,0,23,0
5.919856,46.17586,5660,-423.2,0.12,-693.8242,False,0,0,24,0
6.183343,48.35984,5660,-423.2,0.12,-691.6401,False,0,0,25,0
6.451333,50.38781,5660,-423.2,0.12,-689.6122,False,0,0,26,0
6.716323,52.41579,5660,-423.2,0.12,-687.5842,False,0,0,27,0
6.9828,54.59977,5660,-423.2,0.12,-685.4002,False,0,0,29,0
7.251864,56.62774,5660,-423.2,0.12,-683.3723,False,0,0,30,0
7.516851,58.65572,5660,-423.2,0.12,-681.3443,False,0,0,31,0
7.78473,60.83969,5660,-423.2,0.12,-679.1603,False,0,0,32,0
8.049723,62.86767,5660,-423.2,0.12,-677.1323,False,0,0,33,0
8.316748,64.89565,5660,-423.2,0.12,-675.1044,False,0,0,34,0
8.58284,67.07963,5660,-423.2,0.12,-672.9203,False,0,0,35,0
8.84918,69.1076,5660,-423.2,0.12,-670.8924,False,0,0,36,0
9.115999,71.13558,5660,-423.2,0.12,-668.8644,False,0,0,37,0
9.380316,73.16356,5660,-423.2,0.12,-666.8364,False,0,0,38,0
9.647619,75.34753,5660,-423.2,0.12,-664.6525,False,0,0,39,0
9.915113,77.37551,5660,-423.2,0.12,-662.6245,False,0,0,40,0
10.17997,79.40349,5660,-423.2,0.12,-660.5965,False,0,0,41,0
10.44835,81.58746,5660,-423.2136,0.128,-658.4694,False,0,0,42,0
