time,route,health,x,y,z,holdout,holdout_time,police,shots,drift
0.03849816,0.3119999,100000,-420,0.12,-739.688,False,0,0,1,0
0.3004246,2.339999,100000,-416.801,0.12,-737.66,False,0,0,2,0
0.5695682,4.367998,100000,-416.8,0.12,-735.632,False,0,0,3,0
0.8338075,6.396,100000,-416.8,0.12,-733.604,False,0,0,4,0
1.122003,8.736002,100000,-416.8,0.12,-731.264,False,0,0,5,0
1.387069,10.764,100000,-416.8,0.12,-729.236,False,0,0,6,0
1.652591,12.79201,100000,-416.8,0.12,-727.208,False,0,0,7,0
1.92,14.97601,100000,-416.8,0.12,-725.024,False,0,0,8,0
2.187885,17.00401,100000,-416.8,0.12,-722.996,False,0,0,9,0
2.454226,19.03201,100000,-416.8,0.12,-720.968,False,0,0,10,0
2.719001,21.21601,100000,-416.8,0.12,-718.784,False,0,0,11,0
2.985659,23.24401,100000,-416.8,0.12,-716.756,False,0,0,12,0
3.248282,25.27202,100000,-416.8,0.12,-714.728,False,0,0,14,0
3.516568,27.30002,100000,-416.8,0.12,-712.7,False,0,0,15,0
3.782746,29.48402,100000,-416.8,0.12,-710.516,False,0,0,16,0
4.050553,31.51202,100000,-416.8,0.12,-708.488,False,0,0,17,0
4.315788,33.54,100000,-416.8,0.12,-706.46,False,0,0,18,0
4.594556,35.72398,100000,-416.8,0.12,-704.276,False,0,0,19,0
4.861042,37.90796,100000,-416.8,0.12,-702.092,False,0,0,20,0
5.160268,40.24793,100000,-416.8,0.12,-699.7521,False,0,0,21,0
5.426363,42.27591,100000,-416.8,0.12,-697.7241,False,0,0,22,0
5.692293,44.30388,100000,-416.8,0.12,-695.6961,False,0,0,23,0
5.959581,46.48786,100000,-416.8,0.12,-693.5121,False,0,0,24,0
6.224641,48.51583,100000,-416.8,0.12,-691.4842,False,0,0,25,0
6.492624,50.54381,100000,-416.8,0.12,-689.4562,False,0,0,26,0
6.759528,52.72779,100000,-416.8,0.12,-687.2722,False,0,0,28,0
7.02573,54.75576,100000,-416.8,0.12,-685.2443,False,0,0,29,0
7.290484,56.78374,100000,-416.8,0.12,-683.2162,False,0,0,30,0
7.556599,58.81172,100000,-416.8,0.12,-681.1883,False,0,0,31,0
7.824549,60.99569,100000,-416.8,0.12,-679.0043,False,0,0,32,0
8.091173,63.02367,100000,-416.8,0.12,-676.9763,False,0,0,33,0
8.357549,65.05165,100000,-416.8,0.12,-674.9484,False,0,0,34,0
8.624602,67.23563,100000,-416.8,0.12,-672.7643,False,0,0,35,0
8.891339,69.2636,100000,-416.8,0.12,-670.7364,False,0,0,36,0
9.15799,71.29158,100000,-416.8,0.12,-668.7084,False,0,0,37,0
9.420562,73.47556,100000,-416.8,0.12,-666.5245,False,0,0,38,0
9.688031,75.50353,100000,-416.8,0.12,-664.4965,False,0,0,39,0
9.953854,77.53151,100000,-416.8,0.12,-662.4685,False,0,0,40,0
10.22127,79.71548,100000,-416.8,0.12,-660.2845,False,0,0,41,0
10.48771,81.74346,100000,-416.8,0.128,-658.2565,False,0,0,42,0
10.75342,83.77144,100000,-416.8,0.128,-656.2286,False,0,0,44,0
11.02004,85.95541,100000,-416.8,0.128,-654.0446,False,0,0,45,0
11.28663,87.98339,100000,-416.8,0.128,-652.0166,False,0,0,46,0
11.5525,90.01137,100000,-416.8,0.128,-649.9886,False,0,0,47,0
11.82072,92.19534,100000,-416.8,0.128,-647.8046,False,0,0,48,0
12.08685,94.22332,100000,-416.8,0.128,-645.7767,False,0,0,49,0
12.35166,96.2513,100000,-416.8012,0.128,-643.7438,False,0,0,50,0
12.61972,98.43527,100000,-416.8038,0.128,-641.5656,False,0,0,51,0
12.88501,100.4632,100000,-416.7977,0.128,-639.5537,False,0,0,52,0
13.15275,102.4912,100000,-416.7842,0.128,-637.5374,False,0,0,53,0
13.4187,104.6752,100000,-416.756,0.128,-635.3837,False,0,0,54,0
13.68577,106.7032,100000,-416.7098,0.128,-633.3839,False,0,0,55,0
13.95268,108.7312,100000,-416.6472,0.12,-631.3816,False,0,0,56,0
14.21985,110.9151,100000,-416.5621,0.12,-629.2249,False,0,0,57,0
14.48679,112.9431,100000,-416.4664,0.12,-627.222,False,0,0,58,0
14.75263,114.9711,100000,-416.3554,0.12,-625.2175,False,0,0,60,0
15.01927,117.1551,100000,-416.219,0.12,-623.0598,False,0,0,61,0
15.31968,119.495,100000,-416.0538,0.12,-620.7452,False,0,0,62,0
15.60247,121.679,100000,-415.8828,0.12,-618.5855,False,0,0,63,0
15.87083,123.707,100000,-415.7097,0.12,-616.5783,False,0,0,64,0
16.13775,125.735,100000,-415.5239,0.12,-614.5697,False,0,0,65,0
16.40312,127.9189,100000,-415.3094,0.12,-612.4067,False,0,0,66,0
16.66921,129.947,100000,-415.0982,0.12,-610.3948,False,0,0,67,0
16.93623,131.9751,100000,-414.8764,0.12,-608.3847,False,0,0,68,0
17.20376,134.1592,100000,-414.6253,0.12,-606.2162,False,0,0,69,0
17.4691,136.1872,100000,-414.3831,0.12,-604.2026,False,0,0,70,0
17.736,138.2153,100000,-414.1314,0.12,-602.1874,False,0,0,71,0
18.00315,140.3994,100000,-413.8521,0.12,-600.0142,False,0,0,73,0
18.27182,142.4275,100000,-413.5853,0.12,-597.9973,False,0,0,74,0
18.53672,144.4556,100000,-413.3121,0.12,-595.9761,False,0,0,75,0
18.80408,146.6396,100000,-413.0131,0.12,-593.8007,False,0,0,76,0
19.07073,148.6677,100000,-412.7302,0.12,-591.7775,False,0,0,77,0
19.33702,150.6958,100000,-412.4449,0.12,-589.7527,False,0,0,78,0
19.60451,152.8799,100000,-412.1346,0.12,-587.5724,False,0,0,79,0
19.87072,154.9079,100000,-411.8452,0.12,-585.5435,False,0,0,80,0
20.13535,156.936,100000,-411.5559,0.12,-583.5162,False,0,0,81,0
