time,health,distance,holdout,spawned,x,y,z
0.1000023,11330,0.7799997,False,0,-420,0.12,-739.22
0.5145111,11330,4.055998,False,0,-416.8,0.12,-735.944
1.001823,11330,7.800001,False,0,-416.8,0.12,-732.2
1.517128,11330,11.856,False,0,-416.8,0.12,-728.144
2.018539,11330,15.75601,False,0,-416.8,0.12,-724.244
2.513783,11330,19.65601,False,0,-416.8,0.12,-720.344
3.019554,11330,23.55602,False,0,-416.8,0.12,-716.444
3.509056,11330,27.45602,False,0,-416.8,0.12,-712.544
4.006165,11330,31.35602,False,0,-416.8,0.12,-708.644
4.508183,11330,35.25599,False,0,-416.8,0.12,-704.744
5.001541,11330,38.99994,False,0,-416.8,0.12,-701.0001
5.500111,11330,42.8999,False,0,-416.8,0.12,-697.1001
6.016277,11330,46.95585,False,0,-416.8,0.12,-693.0441
6.510731,11330,50.85581,False,0,-416.8,0.12,-689.1442
7.020267,11330,54.75576,False,0,-416.8,0.12,-685.2443
7.507931,11330,58.65572,False,0,-416.8,0.12,-681.3443
8.003727,11330,62.39968,False,0,-416.8,0.12,-677.6003
8.517403,11330,66.45564,False,0,-416.8,0.12,-673.5444
9.009678,11330,70.35559,False,0,-416.8,0.12,-669.6444
9.516216,11330,74.25555,False,0,-416.8,0.12,-665.7444
10.01686,11330,78.1555,False,0,-416.8,0.12,-661.8445
10.50266,11330,81.89946,False,0,-416.8,0.128,-658.1005
11.01722,11330,85.95541,False,0,-416.8,0.128,-654.0446
11.50006,11330,89.69937,False,0,-416.8,0.128,-650.3006
12.01139,11330,93.75533,False,0,-416.8,0.128,-646.2447
12.50153,11330,97.49928,False,0,-416.8032,0.128,-642.4968
13.02206,11330,101.5552,False,0,-416.7914,0.128,-638.4661
13.50545,11330,105.2992,False,0,-416.7436,0.128,-634.7695
14.01805,11330,109.3551,False,0,-416.6247,0.12,-630.7651
14.51891,11330,113.2551,False,0,-416.4503,0.12,-626.9137
15.02242,11330,117.1551,False,0,-416.219,0.12,-623.0598
15.50284,11330,120.899,False,0,-415.9458,0.12,-619.3569
16.00203,11330,124.799,False,0,-415.6111,0.12,-615.4965
16.51269,11330,128.855,False,0,-415.2133,0.12,-611.4785
17.00149,11330,132.5991,False,0,-414.8058,0.12,-607.7657
17.51411,11330,136.6553,False,0,-414.3258,0.12,-603.7379
18.01657,11330,140.5554,False,0,-413.8318,0.12,-599.8591
18.50679,11330,144.4556,False,0,-413.3121,0.12,-595.9761
19.02031,11330,148.3557,False,0,-412.774,0.12,-592.0891
19.50732,11330,152.2558,False,0,-412.2236,0.12,-588.1958
20.00853,11330,156.156,False,0,-411.6673,0.12,-584.2963
20.51608,11330,160.0561,False,0,-411.1118,0.12,-580.3905
21.00957,11330,163.9563,False,0,-410.5648,0.12,-576.4816
21.50799,11330,167.8564,False,0,-410.0331,0.12,-572.567
22.00409,11330,171.6006,False,0,-409.543,0.12,-568.803
22.51109,11330,175.6567,False,0,-409.0408,0.12,-564.7199
23.01261,11330,179.5569,False,0,-408.5925,0.12,-560.7895
23.50544,11330,183.301,False,0,-408.1999,0.12,-557.0135
24.01825,11330,187.3572,False,0,-407.8214,0.12,-552.9175
24.51833,11330,191.2573,False,0,-407.508,0.12,-548.9752
25.01809,11330,195.1575,False,0,-407.248,0.12,-545.0297
25.50896,11330,199.0576,False,0,-407.0452,0.12,-541.0829
26.005,11330,202.8017,False,0,-406.9067,0.12,-537.2916
26.50308,11330,206.7019,False,0,-406.8225,0.12,-533.3409
27.00555,11330,210.602,False,0,-406.8008,0.12,-529.39
27.50752,11330,214.6582,False,0,-406.8448,0.12,-525.2814
28.00046,11330,218.4023,False,0,-406.9453,0.12,-521.489
28.51353,11330,222.4585,False,0,-407.1172,0.12,-517.3822
29.00455,11330,226.2026,False,0,-407.3323,0.12,-513.5938
29.5023,11330,230.1028,False,0,-407.6112,0.12,-509.65
30.01806,11330,234.1589,False,0,-407.9569,0.12,-505.5518
30.5086,11330,238.0591,False,0,-408.3383,0.12,-501.614
31.00804,11330,241.9592,False,0,-408.7624,0.12,-497.6811
31.50444,11330,245.7034,False,0,-409.205,0.12,-493.9106
32.0063,11330,249.7595,False,0,-409.7182,0.12,-489.8305
32.52033,11330,253.6597,False,0,-410.238,0.12,-485.9109
33.01171,11330,257.5598,False,0,-410.7764,0.12,-481.9973
33.51484,11330,261.4599,False,0,-411.327,0.12,-478.0895
34.01981,11330,265.3601,False,0,-411.8833,0.12,-474.1883
34.51204,11330,269.2602,False,0,-412.4387,0.12,-470.2911
35.00405,11330,273.0044,False,0,-412.9638,0.12,-466.5542
35.512,11330,277.0605,False,0,-413.5169,0.12,-462.5126
36.00017,11330,280.8047,False,0,-414.0069,0.12,-458.7879
36.50323,11330,284.7048,False,0,-414.4907,0.128,-454.9123
37.01978,11330,288.761,False,0,-414.9583,0.128,-450.8855
37.5117,11330,292.6611,False,0,-415.3678,0.128,-447.0182
38.02729,11330,296.7173,False,0,-415.747,0.128,-443.0016
38.50694,11330,300.4614,False,0,-416.0505,0.128,-439.2977
39.01861,11330,304.3615,False,0,-416.3156,0.128,-435.4417
39.51689,11330,308.2617,False,0,-416.5252,0.128,-431.5879
40.0109,11330,312.1618,False,0,-416.6768,0.12,-427.7367
40.50006,11330,315.906,False,0,-416.7655,0.12,-424.0449
41.00594,11330,319.9621,False,0,-416.7998,0.12,-420.0226
41.51794,11330,323.8623,False,0,-416.801,0.12,-416.1425
42.01726,11330,327.7624,False,0,-416.8,0.12,-412.2376
42.50254,11330,331.5066,False,0,-416.8,0.12,-408.4935
43.01396,11330,335.5627,False,0,-416.8,0.12,-404.4373
43.50308,11330,339.3069,False,0,-416.8,0.12,-400.6931
44.01897,11330,343.363,False,0,-416.8,0.12,-396.637
44.50342,11330,347.1071,False,0,-416.8,0.12,-392.8929
45.00528,11330,351.0073,False,0,-416.8016,0.12,-388.9828
45.51522,11330,355.0634,False,0,-416.7995,0.12,-384.9661
46.01409,11330,358.9636,False,0,-416.7392,0.12,-381.1901
46.51898,11330,362.8637,False,0,-416.5688,0.12,-377.5798
47.01628,11330,366.7639,False,0,-416.2834,0.12,-374.0851
47.52155,11330,370.664,False,0,-415.8859,0.12,-370.7141
48.01904,11330,374.5642,False,0,-415.3769,0.12,-367.4662
48.50899,11330,378.4643,False,0,-414.7574,0.12,-364.3414
49.01012,11330,382.3645,False,0,-414.028,0.12,-361.3399
49.51955,11330,386.2646,False,0,-413.1898,0.12,-358.4609
50.01969,11330,390.1648,False,0,-412.2437,0.12,-355.7041
50.51478,11330,394.0649,False,0,-411.1903,0.12,-353.0677
51.01337,11330,397.9651,False,0,-410.0306,0.12,-350.5514
51.51853,11330,401.8652,False,0,-408.765,0.12,-348.1537
52.02011,11330,405.7654,False,0,-407.3936,0.12,-345.8731
52.52079,11330,409.6655,False,0,-405.9163,0.12,-343.7072
53.00285,11330,413.4096,False,0,-404.3987,0.12,-341.7352
53.51875,11330,417.4658,False,0,-402.6432,0.12,-339.7146
54.00208,11330,421.2099,False,0,-400.9192,0.12,-337.9552
54.50432,11330,425.1101,False,0,-399.016,0.12,-336.2285
55.01357,11330,429.1662,False,0,-396.9191,0.12,-334.5465
55.50211,11330,432.9104,False,0,-394.8751,0.12,-333.0961
56.00587,11330,436.9665,False,0,-392.5417,0.12,-331.6347
56.50364,11330,440.7107,False,0,-390.2759,0.12,-330.3873
57.01624,11330,444.7668,False,0,-387.6987,0.12,-329.146
57.51122,11086,448.667,False,0,-385.0986,0.12,-328.0607
58.02008,11086,452.5671,False,0,-382.3776,0.12,-327.0824
