time,health,distance,holdout,spawned,x,y,z
0.1000061,11330,0.7799997,False,0,-420,0.12,-739.22
0.5012741,11330,3.899998,False,0,-423.2,0.12,-736.1
1.018562,11330,7.956001,False,0,-423.2,0.12,-732.044
1.508904,11330,11.856,False,0,-423.2,0.12,-728.144
2.003105,11330,15.75601,False,0,-423.2,0.12,-724.244
2.519478,11330,19.65601,False,0,-423.2,0.12,-720.344
3.008209,11330,23.55602,False,0,-423.2,0.12,-716.444
3.517807,11330,27.45602,False,0,-423.2,0.12,-712.544
4.015778,11330,31.35602,False,0,-423.2,0.12,-708.644
4.515839,11330,35.25599,False,0,-423.2,0.12,-704.744
5.012123,11330,39.15594,False,0,-423.2,0.12,-700.8441
5.514992,11330,43.0559,False,0,-423.2,0.12,-696.9441
6.004684,11330,46.95585,False,0,-423.2,0.12,-693.0441
6.510284,11330,50.85581,False,0,-423.2,0.12,-689.1442
7.007065,11330,54.75576,False,0,-423.2,0.12,-685.2443
7.500389,11330,58.49972,False,0,-423.2,0.12,-681.5003
8.004059,11330,62.55568,False,0,-423.2,0.12,-677.4443
8.505356,11330,66.45564,False,0,-423.2,0.12,-673.5444
9.004189,11330,70.35559,False,0,-423.2,0.12,-669.6444
9.50708,11330,74.25555,False,0,-423.2,0.12,-665.7444
10.01469,11330,78.1555,False,0,-423.2,0.12,-661.8445
10.5088,11330,82.05546,False,0,-423.2228,0.128,-658.018
11.01764,11330,85.95541,False,0,-423.3911,0.128,-654.2565
11.51211,11330,89.85537,False,0,-423.7215,0.128,-650.4915
12.00143,11341,93.59933,False,0,-424.1885,0.128,-646.8715
12.51015,11341,97.65528,False,0,-424.8578,0.128,-642.946
13.02106,11341,101.5552,False,0,-425.6431,0.128,-639.1141
13.52038,11341,105.4552,False,0,-426.5366,0.128,-635.2
14.01244,11341,109.3551,False,0,-427.4947,0.128,-631.2459
14.50204,11341,113.2551,False,0,-428.5114,0.128,-627.2422
15.01685,11341,117.1551,False,0,-429.5746,0.128,-623.1899
15.52039,11341,121.055,False,0,-430.6714,0.128,-619.0922
16.00776,11341,124.955,False,0,-431.7888,0.128,-614.9554
16.50824,11341,128.855,False,0,-432.9135,0.128,-610.7798
17.00845,11341,132.7551,False,0,-434.0359,0.128,-606.5699
17.51374,11341,136.6553,False,0,-435.1432,0.128,-602.3425
18.01775,11341,140.5554,False,0,-436.2236,0.128,-598.113
18.50546,11341,144.4556,False,0,-437.262,0.128,-593.8965
19.0074,11341,148.3557,False,0,-438.2563,0.128,-589.67
19.51498,11341,152.2558,False,0,-439.1943,0.128,-585.4725
20.01245,11341,156.156,False,0,-440.0669,0.128,-581.3184
20.50368,11341,160.0561,False,0,-440.8642,0.128,-577.2234
21.0055,11341,163.9563,False,0,-441.5768,0.128,-573.169
21.51397,11341,167.8564,False,0,-442.2038,0.128,-569.1586
22.01392,11341,171.7566,False,0,-442.7352,0.128,-565.2216
22.5113,11341,175.6567,False,0,-443.1635,0.128,-561.3597
23.01405,11341,179.5569,False,0,-443.4819,0.128,-557.5642
23.51907,11341,183.457,False,0,-443.6865,0.128,-553.8091
24.00841,11341,187.3572,False,0,-443.7742,0.128,-550.1188
24.50722,11341,191.2573,False,0,-443.741,0.128,-546.4843
25.01617,11341,195.1575,False,0,-443.5852,0.128,-542.8942
25.5071,11341,199.0576,False,0,-443.3067,0.128,-539.3245
26.01162,11341,202.9577,False,0,-442.9093,0.128,-535.7849
26.50564,11341,206.8579,False,0,-442.3971,0.128,-532.2596
27.01116,11341,210.758,False,0,-441.776,0.128,-528.7328
27.50734,11341,214.6582,False,0,-441.0555,0.128,-525.1921
28.0129,11341,218.5583,False,0,-440.2458,0.128,-521.6381
28.50884,11341,222.4585,False,0,-439.3554,0.128,-518.0414
29.01524,11341,226.3586,False,0,-438.3983,0.128,-514.4026
29.52444,11341,230.4148,False,0,-437.3465,0.128,-510.565
30.00571,11341,234.1589,False,0,-436.3378,0.128,-506.9799
30.5142,11341,238.0591,False,0,-435.2565,0.128,-503.1891
31.01302,11341,241.9592,False,0,-434.1582,0.128,-499.3318
31.50486,11341,245.8594,False,0,-433.0567,0.128,-495.4153
32.00249,11341,249.7595,False,0,-431.969,0.128,-491.4672
32.51535,11341,253.6597,False,0,-430.8981,0.128,-487.4792
33.01572,11341,257.5598,False,0,-429.8571,0.128,-483.4479
33.5089,11341,261.4599,False,0,-428.858,0.128,-479.3909
34.00638,11341,265.3601,False,0,-427.9115,0.128,-475.3203
34.51124,11341,269.2602,False,0,-427.0261,0.128,-471.258
35.01264,11341,273.1604,False,0,-426.2072,0.128,-467.1968
35.513,11341,277.0605,False,0,-425.4643,0.128,-463.1483
36.0052,11341,280.9607,False,0,-424.8048,0.128,-459.1215
36.51843,11341,284.8608,False,0,-424.2352,0.128,-455.1266
37.02024,11341,288.761,False,0,-423.76,0.128,-451.1668
37.50323,11341,292.6611,False,0,-423.3839,0.128,-447.2401
38.00751,11341,296.5612,False,0,-423.1113,0.128,-443.3459
38.50421,11341,300.4614,False,0,-422.945,0.128,-439.4828
39.01591,11341,304.3615,False,0,-422.8868,0.128,-435.6459
39.51355,11341,308.2617,False,0,-422.9374,0.128,-431.8275
40.01443,11036,312.1618,False,0,-423.0735,0.12,-427.9397
40.51491,11036,316.062,False,0,-423.1671,0.12,-423.9847
41.01949,11036,319.9621,False,0,-423.1997,0.12,-420.0531
41.5144,11036,323.8623,False,0,-423.201,0.12,-416.1329
42.01244,11036,327.7624,False,0,-423.2,0.12,-412.2376
42.50027,11036,331.5066,False,0,-423.2,0.12,-408.4935
43.00191,11036,335.4067,False,0,-423.2,0.12,-404.5933
43.51683,11036,339.4629,False,0,-423.2,0.12,-400.5371
44.01224,11036,343.363,False,0,-423.2,0.12,-396.637
44.50993,11036,347.2632,False,0,-423.2,0.12,-392.7368
45.01214,11036,351.1633,False,0,-423.202,0.12,-388.8437
45.51134,11036,355.0634,False,0,-423.1992,0.12,-384.9082
46.01818,11036,358.9636,False,0,-423.1366,0.12,-381.0069
46.51489,11036,362.8637,False,0,-422.9555,0.12,-377.1684
47.00283,11036,366.7639,False,0,-422.652,0.12,-373.4517
47.50423,11036,370.664,False,0,-422.2267,0.12,-369.8452
48.00005,11036,374.4082,False,0,-421.7031,0.12,-366.4873
48.51659,11036,378.4643,False,0,-421.0076,0.12,-362.9651
49.01099,11036,382.3645,False,0,-420.212,0.12,-359.6913
49.51488,11036,386.2646,False,0,-419.2912,0.12,-356.5288
50.01889,11036,390.1648,False,0,-418.2442,0.12,-353.4784
50.51825,11036,394.0649,False,0,-417.0706,0.12,-350.5414
51.01979,11036,397.9651,False,0,-415.7694,0.12,-347.7184
51.51192,11036,401.8652,False,0,-414.3401,0.12,-345.0109
52.00578,11036,405.7654,False,0,-412.7823,0.12,-342.4203
52.51434,11036,409.6655,False,0,-411.0966,0.12,-339.9489
53.01399,11036,413.5656,False,0,-409.2826,0.12,-337.5976
53.51593,11036,417.4658,False,0,-407.3417,0.12,-335.369
54.00302,11036,421.3659,False,0,-405.2746,0.12,-333.2645
