attempt,seconds,outcome,start_hp,start_attack,final_hp,kills,choices,earned_coin,spent_coin,bank,att_level,hp_level
1,32.52,death,60,8,0,2,2,20,0,20,0,0
2,48.46,death,80,12,0,3,3,30,20,30,1,1
3,58.10,death,80,12,0,4,4,30,0,60,1,1
4,58.12,death,80,15,0,4,4,30,50,40,2,1
5,58.11,death,80,15,0,4,4,30,0,70,2,1
6,58.12,death,90,15,0,4,4,30,46,54,2,2
7,59.32,death,90,15,0,4,4,30,45,39,2,2
8,58.15,death,90,15,0,4,4,30,0,69,2,2
9,59.36,death,90,15,0,4,4,30,65,34,2,2
10,59.31,death,90,15,0,4,4,30,0,64,2,2
11,59.32,death,90,15,0,4,4,30,0,94,2,2
12,72.50,death,90,18,0,5,5,40,90,44,3,2
13,149.89,death,90,18,0,11,11,110,0,154,3,2
14,160.40,death,90,21,0,13,12,140,130,164,4,2
15,160.35,death,100,21,0,13,12,130,82,212,4,3
16,203.53,death,100,24,0,15,15,170,170,212,5,3
17,160.35,death,110,24,0,13,12,140,203,149,5,4
18,244.06,death,110,24,0,18,18,200,105,244,5,4
19,244.10,death,110,27,0,18,18,200,210,234,6,4
20,311.00,death,120,27,0,23,23,250,154,330,6,5
21,215.52,death,120,30,0,16,16,180,250,260,7,5
22,323.54,death,130,30,0,24,24,250,190,320,7,6
23,330.82,clear,130,33,1,25,25,320,290,350,8,6
