Canvas/OpeningStory/HarborContent/StoryCounter text=이야기 01 / 04 align=MidlineGeoAligned margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(0.00, 0.00) anchors=(0.05, 1.00)..(0.53, 1.00) rect=(x:-258.66, y:-47.48, width:517.32, height:94.96) offset=(0.00, -194.98)..(0.00, -100.02) parent=HarborContent
Canvas/OpeningStory/HarborContent/SkipButton/SkipLabel text=건너뛰기 align=MidlineGeoAligned margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(0.00, 0.00) anchors=(0.08, 0.12)..(0.93, 0.88) rect=(x:-132.19, y:-36.08, width:264.38, height:72.17) offset=(0.00, 0.00)..(0.00, 0.00) parent=SkipButton
Canvas/OpeningStory/HarborContent/ReplayButton/AlignedContent/ReplayLabel text=이전 장면 align=MidlineGeoAligned margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(0.00, 0.00) anchors=(0.00, 0.00)..(0.00, 0.00) rect=(x:0.00, y:0.00, width:0.00, height:0.00) offset=(0.00, 0.00)..(0.00, 0.00) parent=AlignedContent
Canvas/OpeningStory/HarborContent/NextButton/NextLabel text=다음 장면 align=MidlineGeoAligned margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(0.00, 0.00) anchors=(0.08, 0.12)..(0.93, 0.88) rect=(x:-230.42, y:-72.65, width:460.84, height:145.30) offset=(0.00, 0.00)..(0.00, 0.00) parent=NextButton
Canvas/OpeningStory/HarborContent/StorySegment1/Number text=1 align=MidlineGeoAligned margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(0.00, 0.00) anchors=(0.08, 0.12)..(0.93, 0.88) rect=(x:-108.32, y:-49.56, width:216.65, height:99.11) offset=(0.00, 0.00)..(0.00, 0.00) parent=StorySegment1
Canvas/OpeningStory/HarborContent/StorySegment2/Number text=2 align=MidlineGeoAligned margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(0.00, 0.00) anchors=(0.08, 0.12)..(0.93, 0.88) rect=(x:-108.32, y:-49.56, width:216.65, height:99.11) offset=(0.00, 0.00)..(0.00, 0.00) parent=StorySegment2
Canvas/OpeningStory/HarborContent/StorySegment3/Number text=3 align=MidlineGeoAligned margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(0.00, 0.00) anchors=(0.08, 0.12)..(0.93, 0.88) rect=(x:-108.32, y:-49.56, width:216.65, height:99.11) offset=(0.00, 0.00)..(0.00, 0.00) parent=StorySegment3
Canvas/OpeningStory/HarborContent/StorySegment4/Number text=4 align=MidlineGeoAligned margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(0.00, 0.00) anchors=(0.08, 0.12)..(0.93, 0.88) rect=(x:-108.32, y:-49.56, width:216.65, height:99.11) offset=(0.00, 0.00)..(0.00, 0.00) parent=StorySegment4
Canvas/OpeningStory/HarborContent/SceneTitle text=훔친 신발 align=MidlineGeoAligned margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(0.00, 0.00) anchors=(0.19, 0.00)..(0.81, 0.00) rect=(x:-334.80, y:-36.08, width:669.60, height:72.17) offset=(0.00, 641.92)..(0.00, 714.09) parent=HarborContent
Canvas/OpeningStory/HarborContent/Caption text=신단의 신발을 물고,|상어는 항구를 빠져나갔다. align=MidlineGeoAligned margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(0.00, 0.00) anchors=(0.09, 0.00)..(0.92, 0.00) rect=(x:-448.20, y:-69.00, width:896.40, height:138.01) offset=(0.00, 502.65)..(0.00, 640.66) parent=HarborContent
Canvas/UI/Main/Center/ChapterTitle/Chapter text=CHAPTER 01 align=MidlineGeoAligned margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(0.00, 0.00) anchors=(0.30, 0.58)..(0.70, 0.76) rect=(x:-159.84, y:-26.64, width:319.68, height:53.28) offset=(0.00, 0.00)..(0.00, 0.00) parent=ChapterTitle
