Canvas/OpeningStory/HarborContent/StoryCounter text=이야기 01 / 04 align=Center margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(0.10, 3.90) anchors=(0.05, 1.00)..(0.53, 1.00) rect=(x:-258.66, y:-47.48, width:517.32, height:94.96) offset=(0.00, -194.98)..(0.00, -100.02) parent=HarborContent
Canvas/OpeningStory/HarborContent/SkipButton/SkipLabel text=건너뛰기 align=Center margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(-1.22, 3.59) anchors=(0.12, 0.18)..(0.89, 0.85) rect=(x:-119.58, y:-31.84, width:239.16, height:63.68) offset=(0.00, 0.00)..(0.00, 0.00) parent=SkipButton
Canvas/OpeningStory/HarborContent/ReplayButton/ReplayLabel text=이전 장면 align=Center margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(0.30, 4.59) anchors=(0.22, 0.12)..(0.95, 0.88) rect=(x:-181.73, y:-72.65, width:363.45, height:145.30) offset=(0.00, 0.00)..(0.00, 0.00) parent=ReplayButton
Canvas/OpeningStory/HarborContent/NextButton/NextLabel text=다음 장면 align=Center margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(0.57, 4.72) anchors=(0.09, 0.20)..(0.82, 0.84) rect=(x:-196.16, y:-61.90, width:392.31, height:123.80) offset=(0.00, 0.00)..(0.00, 0.00) parent=NextButton
Canvas/OpeningStory/HarborContent/StorySegment1/Number text=1 align=Center margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(-3.01, 4.52) anchors=(0.05, 0.08)..(0.95, 0.92) rect=(x:-114.70, y:-54.77, width:229.39, height:109.54) offset=(0.00, 0.00)..(0.00, 0.00) parent=StorySegment1
Canvas/OpeningStory/HarborContent/StorySegment2/Number text=2 align=Center margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(-0.03, 4.52) anchors=(0.05, 0.08)..(0.95, 0.92) rect=(x:-114.70, y:-54.77, width:229.39, height:109.54) offset=(0.00, 0.00)..(0.00, 0.00) parent=StorySegment2
Canvas/OpeningStory/HarborContent/StorySegment3/Number text=3 align=Center margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(-0.03, 4.13) anchors=(0.05, 0.08)..(0.95, 0.92) rect=(x:-114.70, y:-54.77, width:229.39, height:109.54) offset=(0.00, 0.00)..(0.00, 0.00) parent=StorySegment3
Canvas/OpeningStory/HarborContent/StorySegment4/Number text=4 align=Center margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(-0.07, 4.13) anchors=(0.05, 0.08)..(0.95, 0.92) rect=(x:-114.70, y:-54.77, width:229.39, height:109.54) offset=(0.00, 0.00)..(0.00, 0.00) parent=StorySegment4
Canvas/OpeningStory/HarborContent/SceneTitle text=훔친 신발 align=Center margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(0.65, 4.67) anchors=(0.19, 0.00)..(0.81, 0.00) rect=(x:-334.80, y:-36.08, width:669.60, height:72.17) offset=(0.00, 641.92)..(0.00, 714.09) parent=HarborContent
Canvas/OpeningStory/HarborContent/Caption text=신단의 신발을 물고,|상어는 항구를 빠져나갔다. align=Center margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(-0.82, 3.72) anchors=(0.09, 0.00)..(0.92, 0.00) rect=(x:-448.20, y:-69.00, width:896.40, height:138.01) offset=(0.00, 502.65)..(0.00, 640.66) parent=HarborContent
Canvas/UI/Main/Center/ChapterTitle/Chapter text=CHAPTER 01 align=Center margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(-1.81, 0.80) anchors=(0.30, 0.58)..(0.70, 0.76) rect=(x:-159.84, y:-26.64, width:319.68, height:53.28) offset=(0.00, 0.00)..(0.00, 0.00) parent=ChapterTitle
Canvas/UI/Main/Center/ChapterTitle/Name text=노량진 수산시장 align=Center margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(0.90, 5.54) anchors=(0.08, 0.20)..(0.93, 0.51) rect=(x:-339.66, y:-46.62, width:679.32, height:93.24) offset=(0.00, 0.00)..(0.00, 0.00) parent=ChapterTitle
Canvas/UI/Main/Center/StartHint/Title text=좌우로 움직여|게임 시작 align=Center margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(-1.81, 5.67) anchors=(0.21, 0.44)..(0.80, 0.98) rect=(x:-293.11, y:-120.04, width:586.22, height:240.08) offset=(0.00, 0.00)..(0.00, 0.00) parent=StartHint
Canvas/UI/Main/Bottom/Skin_Button/Label text=꾸미기 align=Center margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(-1.19, 3.66) anchors=(0.10, 0.07)..(0.90, 0.27) rect=(x:-133.79, y:-28.24, width:267.58, height:56.47) offset=(0.00, 0.00)..(0.00, 0.00) parent=Skin_Button
Canvas/UI/Main/Bottom/Upgrade_Button/Label text=강화 align=Center margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(0.18, 4.42) anchors=(0.10, 0.07)..(0.90, 0.27) rect=(x:-133.79, y:-28.24, width:267.58, height:56.47) offset=(0.00, 0.00)..(0.00, 0.00) parent=Upgrade_Button
Canvas/UI/Main/Bottom/Story_Button/Label text=스토리 align=Center margin=(0.00, 0.00, 0.00, 0.00) glyphOffset=(-0.31, 3.93) anchors=(0.10, 0.07)..(0.90, 0.27) rect=(x:-133.79, y:-28.24, width:267.58, height:56.47) offset=(0.00, 0.00)..(0.00, 0.00) parent=Story_Button
