index	file	note
1	bite_reward_01_clean_baseline.png	BITE baseline
2	bite_reward_02_korean_jaw_power.png	Korean jaw power
3	bite_reward_03_feed_energy.png	FEED wording
4	bite_reward_04_chomp_playful.png	CHOMP playful
5	bite_reward_05_korean_predation_power.png	Korean predation
6	bite_reward_06_premium_feed_crate.png	premium feed crate
7	bite_reward_07_korean_teeth.png	Korean teeth
8	bite_reward_08_visible_food_absorption.png	food absorption
9	bite_reward_09_flat_vs_multiplier.png	flat vs multiplier
10	bite_reward_10_final_recommended_bite.png	final recommended
