id,title,kind,category,zones,triangles,folder,role,bones,clips
B01,실내 바닥 타일 모듈,prop,구조,"03,04,05,06,07,08",14798,props/B01,,,
B02,석재 벽 패널,prop,구조,"03,04,05,06,07,08",13578,props/B02,,,
B03,목재 슬랫 벽 패널,prop,구조,"03,05,06,07,08",14210,props/B03,,,
B04,석재 기둥,prop,구조,"03,04,05,06,07,08,09",14680,props/B04,,,
B05,창문 한 칸,prop,구조,"04,05,06,07",14784,props/B05,,,
B06,자동문 고정 프레임,prop,구조,04,14491,props/B06,,,
B07,자동문 유리 문짝,prop,구조,04,14795,props/B07,,,
B08,짙은 지붕 패널,prop,구조,"03,04",14145,props/B08,,,
B09,황토색 처마 마감재,prop,구조,"03,04",14440,props/B09,,,
B10,아치 캐노피 프레임,prop,구조,03,14139,props/B10,,,
B11,곡면 캐노피 패널,prop,구조,03,13830,props/B11,,,
B12,목재 천장 패널,prop,구조,"03,04",13907,props/B12,,,
E01,바닥 청소 로봇,prop,,,13109,props/E01,,,
E02,누수 파이프,prop,,,14504,props/E02,,,
E03,소형 행사 진열대,prop,,,14524,props/E03,,,
E04,음료 자판기,prop,,,14725,props/E04,,,
E05,주차장 가로등,prop,,,14741,props/E05,,,
E06,원형 나무 화단,prop,,,14875,props/E06,,,
E07,매장 간판판,prop,,,14378,props/E07,,,
F01,목재 벤치,prop,가구·장식,"03,05",14783,props/F01,,,
F02,긴 석재 화분 용기,prop,가구·장식,"03,05,06,07",14251,props/F02,,,
F03,관목 한 포기,prop,가구·장식,"03,05,06,07,08",14871,props/F03,,,
F04,조경 나무 한 그루,prop,가구·장식,03,14872,props/F04,,,
F05,벽등,prop,가구·장식,"03,04,05,06,07,08,09",14384,props/F05,,,
F06,천장 매입등,prop,가구·장식,"03,04,09",14155,props/F06,,,
F07,식당 테이블,prop,가구·장식,06,14673,props/F07,,,
F08,올리브색 의자,prop,가구·장식,06,14365,props/F08,,,
F09,황토색 의자,prop,가구·장식,06,14565,props/F09,,,
F10,테이블용 작은 화분,prop,가구·장식,"06,07,08",13988,props/F10,,,
F11,정사각 바닥 환기구,prop,가구·장식,05,14703,props/F11,,,
G01,주유소 캐노피 지붕,prop,주유소,09,14770,props/G01,,,
G02,주유기,prop,주유소,09,13893,props/G02,,,
G03,주유기 받침 아일랜드,prop,주유소,09,14356,props/G03,,,
G04,노란 보호 볼라드,prop,주유소,09,14330,props/G04,,,
H01,주차 안내원,human,,,13373,characters/H01,ParkingMarshal,18,9
H02,간식 요리사,human,,,12771,characters/H02,SnackChef,18,9
H03,바리스타,human,,,13601,characters/H03,CoffeeVendor,18,9
H04,편의점 계산원,human,,,13410,characters/H04,Cashier,18,9
H05,청소원,human,,,12913,characters/H05,Cleaner,18,9
H06,주유소 직원,human,,,13326,characters/H06,FuelAttendant,18,9
H07,여행객,human,,,13171,characters/H07,Traveler,18,9
H08,경찰,human,,,13032,characters/H08,Police,18,9
P01,경찰 방패,prop,,,14583,props/P01,,,
P02,경찰 진압봉,prop,,,14309,props/P02,,,
P03,주차 안내봉,prop,,,13576,props/P03,,,
P04,청소 대걸레,prop,,,14799,props/P04,,,
P05,여행객 배낭,prop,,,13984,props/P05,,,
P06,테이크아웃 컵 뚜껑,prop,,,12599,props/P06,,,
R01,직선 아스팔트 구간,prop,도로,"01,02,10",14991,props/R01,,,
R02,곡선 아스팔트 구간,prop,도로,"01,10",14991,props/R02,,,
R03,보도 경계석,prop,도로,"01,02,03,09,10",14991,props/R03,,,
R04,가드레일 한 구간,prop,도로,"01,10",14079,props/R04,,,
R05,초록 도로 표지판,prop,도로,"01,10",14313,props/R05,,,
R06,표지판 지지 프레임,prop,도로,"01,10",13917,props/R06,,,
R07,차단기 본체,prop,도로,"01,10",13727,props/R07,,,
R08,차단기 봉,prop,도로,"01,10",14711,props/R08,,,
R09,주차 휠스토퍼,prop,도로,02,14897,props/R09,,,
R10,전기차 충전기,prop,도로,"02,09",14029,props/R10,,,
R11,검정·노랑 볼라드,prop,도로,"02,03",14285,props/R11,,,
R12,선형 배수 그레이팅,prop,도로,"01,02,09,10",14726,props/R12,,,
S01,음식 판매대 본체,prop,매장·식당 설비,"03,05,06",13432,props/S01,,,
S02,음식 유리 진열장,prop,매장·식당 설비,"03,05,06",11971,props/S02,,,
S03,계산대 본체,prop,매장·식당 설비,07,12587,props/S03,,,
S04,POS 단말기,prop,매장·식당 설비,"03,05,06,07",13504,props/S04,,,
S05,자동 커피 머신,prop,매장·식당 설비,"03,06,07",14299,props/S05,,,
S06,양면 상품 진열대,prop,매장·식당 설비,07,14589,props/S06,,,
S07,벽면 상품 선반,prop,매장·식당 설비,07,14551,props/S07,,,
S08,유리문 냉장고,prop,매장·식당 설비,07,14772,props/S08,,,
S09,과자 봉지,prop,상품·주방 소품,07,14375,props/S09,,,
S10,음료 병,prop,상품·주방 소품,07,13697,props/S10,,,
S11,스테인리스 음식 트레이,prop,상품·주방 소품,"03,05,06",14906,props/S11,,,
S12,빵 한 개,prop,상품·주방 소품,"03,05,06",13283,props/S12,,,
S13,종이컵,prop,상품·주방 소품,"03,06,07",14647,props/S13,,,
S14,상품 종이상자,prop,상품·주방 소품,07,14831,props/S14,,,
S15,음료 캔,prop,상품·주방 소품,07,14471,props/S15,,,
T01,화장실 칸막이,prop,화장실,08,14791,props/T01,,,
T02,화장실 칸 문짝,prop,화장실,08,14602,props/T02,,,
T03,양변기,prop,화장실,08,14750,props/T03,,,
T04,소변기,prop,화장실,08,14182,props/T04,,,
T05,소변기 가림판,prop,화장실,08,14825,props/T05,,,
T06,세면대 한 칸,prop,화장실,08,14679,props/T06,,,
T07,세면대 수전,prop,화장실,08,14575,props/T07,,,
T08,벽 거울,prop,화장실,08,14758,props/T08,,,
T09,화장실 안내판,prop,화장실,"07,08",14731,props/T09,,,
V01,흰색 크로스오버,prop,차량,"02,09,10",13915,props/V01,,,
V02,빨간 소형차,prop,차량,"02,09,10",13875,props/V02,,,
V03,초록 소형 SUV,prop,차량,"02,09,10",14234,props/V03,,,
V04,배송 트럭,prop,차량,"02,09,10",14331,props/V04,,,
V05,노란 박스 트럭,prop,차량,"02,09,10",14332,props/V05,,,
V06,대형 버스,prop,차량,"02,09,10",13846,props/V06,,,
